País,Gran Premio,Clasificación en el Índice de Libertad Humana 2022
Baréin,Gran Premio de Baréin,142
Arabia Saudita,Gran Premio de Arabia Saudita,161
Azerbaiyán,Gran Premio de Azerbaiyán,130
Hungría,Gran Premio de Hungría,40
China,Gran Premio de China,150
México,Gran Premio de México,92
Emiratos Árabes Unidos,Gran Premio de Abu Dhabi,140
España,Gran Premio de España,24
Italia,Gran Premio de Italia,31
Canadá,Gran Premio de Canadá,6
Brasil,Gran Premio de Brasil,90
Japón,Gran Premio de Japón,20
Bélgica,Gran Premio de Bélgica,17
Países Bajos,Gran Premio de los Países Bajos,13
Singapur,Gran Premio de Singapur,69
Estados Unidos,Gran Premio de Estados Unidos,15
Reino Unido,Gran Premio de Gran Bretaña,14
Austria,Gran Premio de Austria,10
Australia,Gran Premio de Australia,5

